FERIADO,DOMINGO,SABADO,DIA_UTIL,PRECIPITACAO,TEMPERATURA,HORA,c#ACIMA_MEDIA_FREQUENCIA
0,1,0,0,0.0,20.3,20,0
0,1,0,0,0.0,18.5,21,1
0,1,0,0,0.0,16.3,22,0
0,1,0,0,0.0,15.0,23,0
0,0,0,1,0.0,14.7,00,0
0,0,0,1,0.0,14.9,01,0
0,0,0,1,0.0,14.0,02,0
0,0,0,1,0.0,12.4,04,0
0,0,0,1,0.0,11.9,05,0
0,0,0,1,0.0,11.7,06,0
0,0,0,1,0.0,11.8,07,1
0,0,0,1,0.0,11.6,08,0
0,0,0,1,0.0,11.7,09,1
0,0,0,1,0.0,13.5,10,1
0,0,0,1,0.0,15.1,11,1
0,0,0,1,0.0,16.5,12,1
0,0,0,1,0.0,17.8,13,1
0,0,0,1,0.0,18.8,14,1
0,0,0,1,0.0,20.4,15,1
0,0,0,1,0.0,20.9,16,1
0,0,0,1,0.0,20.9,17,1
0,0,0,1,0.0,20.7,18,1
0,0,0,1,0.0,20.3,19,1
0,0,0,1,0.0,19.0,20,1
0,0,0,1,0.0,16.6,21,0
0,0,0,1,0.0,14.3,22,0
0,0,0,1,0.0,13.1,23,0
0,0,0,1,0.0,12.2,00,0
0,0,0,1,0.0,12.7,01,0
0,0,0,1,0.0,12.1,02,0
0,0,0,1,0.0,10.8,04,0
0,0,0,1,0.0,10.1,05,0
0,0,0,1,0.0,10.0,06,0
0,0,0,1,0.0,9.9,07,0
0,0,0,1,0.0,9.7,08,0
0,0,0,1,0.0,9.3,09,1
0,0,0,1,0.0,10.9,10,1
0,0,0,1,0.0,13.8,11,1
0,0,0,1,0.0,15.9,12,1
0,0,0,1,0.0,17.4,13,1
0,0,0,1,0.0,18.8,14,1
0,0,0,1,0.0,20.7,15,1
0,0,0,1,0.0,21.2,16,1
0,0,0,1,0.0,21.7,17,1
0,0,0,1,0.0,21.6,18,1
0,0,0,1,0.0,21.1,19,1
0,0,0,1,0.0,19.1,20,1
0,0,0,1,0.0,16.8,21,0
0,0,0,1,0.0,14.6,22,1
0,0,0,1,0.0,14.2,23,0
0,0,0,1,0.0,14.3,00,0
0,0,0,1,0.0,13.8,01,0
0,0,0,1,0.0,13.5,02,0
0,0,0,1,0.0,11.4,04,0
0,0,0,1,0.0,10.3,05,0
0,0,0,1,0.0,10.0,06,0
0,0,0,1,0.0,9.7,07,0
0,0,0,1,0.0,9.4,08,0
0,0,0,1,0.0,9.5,09,1
0,0,0,1,0.0,12.2,10,1
0,0,0,1,0.0,15.1,11,1
0,0,0,1,0.0,17.1,12,1
0,0,0,1,0.0,18.6,13,1
0,0,0,1,0.0,20.0,14,1
0,0,0,1,0.0,22.3,15,1
0,0,0,1,0.0,23.0,16,1
0,0,0,1,0.0,23.3,17,1
0,0,0,1,0.0,23.3,18,1
0,0,0,1,0.0,22.8,19,1
0,0,0,1,0.0,20.9,20,1
0,0,0,1,0.0,18.6,21,1
0,0,0,1,0.0,16.9,22,1
0,0,0,1,0.0,16.7,23,0
0,0,0,1,0.0,15.8,00,0
0,0,0,1,0.0,15.4,01,0
0,0,0,1,0.0,15.5,02,0
0,0,0,1,0.0,14.4,04,0
0,0,0,1,0.0,14.3,05,0
0,0,0,1,0.0,14.1,06,0
0,0,0,1,0.0,14.7,07,0
0,0,0,1,0.0,14.9,08,0
0,0,0,1,0.0,15.0,09,1
0,0,0,1,0.0,16.1,10,1
0,0,0,1,0.0,17.5,11,1
0,0,0,1,0.0,18.8,12,1
0,0,0,1,0.1,19.6,13,1
0,0,0,1,0.1,20.8,14,1
0,0,0,1,0.1,22.3,15,1
0,0,0,1,0.1,22.9,16,1
0,0,0,1,0.0,23.1,17,1
0,0,0,1,0.0,23.2,18,1
0,0,0,1,0.0,22.6,19,1
0,0,0,1,0.0,21.3,20,1
0,0,0,1,0.0,18.7,21,1
0,0,0,1,0.0,17.3,22,1
0,0,0,1,0.0,17.1,23,0
0,0,0,1,0.0,17.4,00,0
0,0,0,1,0.0,15.8,01,0
0,0,0,1,0.0,15.2,02,0
0,0,0,1,0.0,14.3,04,0
0,0,0,1,0.0,14.0,05,0
0,0,0,1,0.0,13.5,06,0
0,0,0,1,0.0,13.4,07,0
0,0,0,1,0.0,13.7,08,0
0,0,0,1,0.0,13.6,09,1
0,0,0,1,0.0,15.0,10,1
0,0,0,1,0.0,16.4,11,1
0,0,0,1,0.0,17.6,12,1
0,0,0,1,0.0,19.0,13,1
0,0,0,1,0.1,20.3,14,1
0,0,0,1,0.0,22.1,15,1
0,0,0,1,0.1,22.8,16,1
0,0,0,1,0.0,23.1,17,1
0,0,0,1,0.0,23.2,18,1
0,0,0,1,0.0,22.6,19,1
0,0,0,1,0.0,21.2,20,0
0,0,0,1,0.0,19.4,21,1
0,0,0,1,0.0,17.0,22,1
0,0,0,1,0.0,16.1,23,1
0,0,1,0,0.0,15.5,00,0
0,0,1,0,0.0,15.0,01,0
0,0,1,0,0.0,14.7,02,0
0,0,1,0,0.0,13.9,04,0
0,0,1,0,0.0,14.0,05,0
0,0,1,0,0.0,13.8,06,0
0,0,1,0,0.0,13.9,07,0
0,0,1,0,0.0,13.6,08,0
0,0,1,0,0.0,13.6,09,0
0,0,1,0,0.0,15.2,10,0
0,0,1,0,0.0,16.4,11,1
0,0,1,0,0.0,17.8,12,1
0,0,1,0,0.1,18.9,13,1
0,0,1,0,0.0,20.0,14,0
0,0,1,0,0.0,22.1,15,0
0,0,1,0,0.0,22.8,16,0
0,0,1,0,0.0,23.1,17,0
0,0,1,0,0.0,23.1,18,0
0,0,1,0,0.0,22.5,19,1
0,0,1,0,0.0,21.1,20,0
0,0,1,0,0.0,18.5,21,1
0,0,1,0,0.0,16.7,22,0
0,0,1,0,0.0,15.9,23,1
0,1,0,0,0.0,15.2,00,0
0,1,0,0,0.0,14.5,01,0
0,1,0,0,0.0,14.2,02,0
0,1,0,0,0.0,13.3,04,0
0,1,0,0,0.0,12.9,05,0
0,1,0,0,0.0,12.5,06,0
0,1,0,0,0.0,12.4,07,0
0,1,0,0,0.0,12.6,08,0
0,1,0,0,0.0,13.0,09,0
0,1,0,0,0.0,14.5,10,0
0,1,0,0,0.0,15.8,11,0
0,1,0,0,0.0,17.1,12,0
0,1,0,0,0.0,18.2,13,0
0,1,0,0,0.0,18.6,14,0
0,1,0,0,0.0,19.0,15,0
0,1,0,0,0.1,18.7,16,0
0,1,0,0,0.1,18.7,17,0
0,1,0,0,0.7,17.9,18,0
0,1,0,0,0.1,17.6,19,1
0,1,0,0,0.0,17.1,20,0
0,1,0,0,0.0,15.9,21,0
0,1,0,0,0.0,15.2,22,0
0,1,0,0,0.0,15.2,23,0
0,0,0,1,0.1,15.4,00,0
0,0,0,1,0.2,15.6,01,0
0,0,0,1,0.0,15.1,02,0
0,0,0,1,0.0,14.6,04,0
0,0,0,1,0.0,14.7,05,0
0,0,0,1,0.0,14.7,06,0
0,0,0,1,0.0,14.7,07,0
0,0,0,1,0.0,14.7,08,0
0,0,0,1,0.0,15.3,09,1
0,0,0,1,0.0,15.7,10,0
0,0,0,1,0.0,15.9,11,1
0,0,0,1,0.1,16.1,12,1
0,0,0,1,0.1,16.6,13,1
0,0,0,1,0.2,17.4,14,1
0,0,0,1,0.1,19.7,15,1
0,0,0,1,0.2,20.9,16,0
0,0,0,1,0.3,21.1,17,1
0,0,0,1,0.3,20.7,18,1
0,0,0,1,0.2,20.9,19,1
0,0,0,1,0.0,20.2,20,0
0,0,0,1,0.0,18.1,21,0
0,0,0,1,0.0,16.5,22,0
0,0,0,1,0.0,16.1,23,0
0,0,0,1,0.0,15.6,00,0
0,0,0,1,0.0,15.3,01,0
0,0,0,1,0.0,15.0,02,0
0,0,0,1,0.2,14.6,04,0
0,0,0,1,0.0,14.4,05,0
0,0,0,1,0.0,13.9,06,0
0,0,0,1,0.0,13.9,07,0
0,0,0,1,0.0,13.3,08,1
0,0,0,1,0.1,13.7,09,0
0,0,0,1,0.0,14.6,10,1
0,0,0,1,0.0,14.9,11,1
0,0,0,1,0.0,15.6,12,1
0,0,0,1,0.0,16.2,13,1
0,0,0,1,0.0,16.9,14,1
0,0,0,1,0.0,18.3,15,1
0,0,0,1,0.0,18.9,16,1
0,0,0,1,0.0,19.3,17,1
0,0,0,1,0.0,19.5,18,1
0,0,0,1,0.0,19.0,19,1
0,0,0,1,0.0,18.1,20,1
0,0,0,1,0.0,16.2,21,0
0,0,0,1,0.0,14.7,22,1
0,0,0,1,0.0,13.8,23,0
0,0,0,1,0.0,13.0,00,0
0,0,0,1,0.0,12.6,01,0
0,0,0,1,0.0,12.0,02,0
0,0,0,1,0.0,9.9,04,0
0,0,0,1,0.0,8.8,05,0
0,0,0,1,0.0,8.3,06,0
0,0,0,1,0.0,7.6,07,0
0,0,0,1,0.0,7.0,08,0
0,0,0,1,0.0,6.5,09,0
0,0,0,1,0.0,7.1,10,1
0,0,0,1,0.0,8.1,11,1
0,0,0,1,0.0,9.2,12,1
0,0,0,1,0.0,10.2,13,1
0,0,0,1,0.0,11.4,14,1
0,0,0,1,0.0,13.2,15,1
0,0,0,1,0.0,13.8,16,1
0,0,0,1,0.0,14.3,17,1
0,0,0,1,0.0,14.4,18,1
0,0,0,1,0.0,13.7,19,1
0,0,0,1,0.0,12.2,20,1
0,0,0,1,0.0,9.9,21,0
0,0,0,1,0.0,8.1,22,0
0,0,0,1,0.0,7.9,23,0
0,0,0,1,0.0,7.8,00,0
0,0,0,1,0.0,7.8,01,0
0,0,0,1,0.0,7.3,02,0
0,0,0,1,0.0,5.9,04,0
0,0,0,1,0.0,5.3,05,0
0,0,0,1,0.0,4.9,06,0
0,0,0,1,0.0,4.2,07,0
0,0,0,1,0.0,3.9,08,0
0,0,0,1,0.0,3.7,09,0
0,0,0,1,0.0,5.3,10,0
0,0,0,1,0.0,6.8,11,1
0,0,0,1,0.0,8.2,12,1
0,0,0,1,0.0,9.7,13,1
0,0,0,1,0.0,11.3,14,1
0,0,0,1,0.0,13.9,15,1
0,0,0,1,0.0,14.9,16,1
0,0,0,1,0.0,15.4,17,1
0,0,0,1,0.0,15.6,18,1
0,0,0,1,0.0,15.1,19,1
0,0,0,1,0.0,13.8,20,1
0,0,0,1,0.0,11.7,21,0
0,0,0,1,0.0,9.9,22,0
0,0,0,1,0.0,9.4,23,0
0,0,0,1,0.0,8.8,00,0
0,0,0,1,0.0,7.8,01,0
0,0,0,1,0.0,6.7,02,0
0,0,0,1,0.0,5.3,04,0
0,0,0,1,0.0,5.0,05,0
0,0,0,1,0.0,4.6,06,0
0,0,0,1,0.0,4.2,07,0
0,0,0,1,0.0,3.7,08,0
0,0,0,1,0.0,3.6,09,0
0,0,0,1,0.0,6.3,10,1
0,0,0,1,0.0,9.6,11,1
0,0,0,1,0.0,12.0,12,1
0,0,0,1,0.0,13.8,13,1
0,0,0,1,0.0,15.0,14,1
