DATA,DATA_HORA_COMPARADOR,TEMPERATURA,PRECIPITACAO
2022-05-04 20:00:00,2022-05-04T20:00:00,23.3,0.0
2022-05-04 21:00:00,2022-05-04T21:00:00,21.2,0.0
2022-05-04 22:00:00,2022-05-04T22:00:00,19.3,0.0
2022-05-04 23:00:00,2022-05-04T23:00:00,19.1,0.1
2022-05-05 00:00:00,2022-05-05T00:00:00,18.1,1.0
2022-05-05 01:00:00,2022-05-05T01:00:00,17.7,0.2
2022-05-05 02:00:00,2022-05-05T02:00:00,17.7,0.4
2022-05-05 03:00:00,2022-05-05T03:00:00,16.9,0.4
2022-05-05 04:00:00,2022-05-05T04:00:00,16.8,0.4
2022-05-05 05:00:00,2022-05-05T05:00:00,16.4,0.3
2022-05-05 06:00:00,2022-05-05T06:00:00,16.3,0.3
2022-05-05 07:00:00,2022-05-05T07:00:00,16.2,0.9
2022-05-05 08:00:00,2022-05-05T08:00:00,16.0,1.3
2022-05-05 09:00:00,2022-05-05T09:00:00,16.0,1.3
2022-05-05 10:00:00,2022-05-05T10:00:00,16.8,1.2
2022-05-05 11:00:00,2022-05-05T11:00:00,17.2,1.3
2022-05-05 12:00:00,2022-05-05T12:00:00,17.7,0.8
2022-05-05 13:00:00,2022-05-05T13:00:00,18.2,0.3
2022-05-05 14:00:00,2022-05-05T14:00:00,18.5,0.4
2022-05-05 15:00:00,2022-05-05T15:00:00,20.1,0.1
2022-05-05 16:00:00,2022-05-05T16:00:00,20.2,0.1
2022-05-05 17:00:00,2022-05-05T17:00:00,19.8,0.7
2022-05-05 18:00:00,2022-05-05T18:00:00,19.9,0.4
2022-05-05 19:00:00,2022-05-05T19:00:00,20.0,0.1
2022-05-05 20:00:00,2022-05-05T20:00:00,19.3,0.0
2022-05-05 21:00:00,2022-05-05T21:00:00,17.9,0.0
2022-05-05 22:00:00,2022-05-05T22:00:00,17.0,0.0
2022-05-05 23:00:00,2022-05-05T23:00:00,16.9,0.0
2022-05-06 00:00:00,2022-05-06T00:00:00,16.4,0.0
2022-05-06 01:00:00,2022-05-06T01:00:00,16.5,0.0
2022-05-06 02:00:00,2022-05-06T02:00:00,16.1,0.0
2022-05-06 03:00:00,2022-05-06T03:00:00,15.9,0.0
2022-05-06 04:00:00,2022-05-06T04:00:00,14.9,0.0
2022-05-06 05:00:00,2022-05-06T05:00:00,15.0,0.0
2022-05-06 06:00:00,2022-05-06T06:00:00,15.0,0.0
2022-05-06 07:00:00,2022-05-06T07:00:00,14.8,0.0
2022-05-06 08:00:00,2022-05-06T08:00:00,14.5,0.0
2022-05-06 09:00:00,2022-05-06T09:00:00,14.2,0.0
2022-05-06 10:00:00,2022-05-06T10:00:00,15.6,0.0
2022-05-06 11:00:00,2022-05-06T11:00:00,17.4,0.0
2022-05-06 12:00:00,2022-05-06T12:00:00,18.0,0.0
2022-05-06 13:00:00,2022-05-06T13:00:00,19.3,0.0
2022-05-06 14:00:00,2022-05-06T14:00:00,20.4,0.0
2022-05-06 15:00:00,2022-05-06T15:00:00,22.0,0.2
2022-05-06 16:00:00,2022-05-06T16:00:00,22.6,0.3
2022-05-06 17:00:00,2022-05-06T17:00:00,23.0,0.1
2022-05-06 18:00:00,2022-05-06T18:00:00,23.2,0.0
2022-05-06 19:00:00,2022-05-06T19:00:00,22.9,0.0
2022-05-06 20:00:00,2022-05-06T20:00:00,21.3,0.0
2022-05-06 21:00:00,2022-05-06T21:00:00,19.5,0.0
2022-05-06 22:00:00,2022-05-06T22:00:00,17.8,0.0
2022-05-06 23:00:00,2022-05-06T23:00:00,16.9,0.0
2022-05-07 00:00:00,2022-05-07T00:00:00,16.3,0.0
2022-05-07 01:00:00,2022-05-07T01:00:00,16.0,0.0
2022-05-07 02:00:00,2022-05-07T02:00:00,15.7,0.0
2022-05-07 03:00:00,2022-05-07T03:00:00,15.0,0.0
2022-05-07 04:00:00,2022-05-07T04:00:00,15.0,0.0
2022-05-07 05:00:00,2022-05-07T05:00:00,14.7,0.0
2022-05-07 06:00:00,2022-05-07T06:00:00,14.3,0.0
2022-05-07 07:00:00,2022-05-07T07:00:00,14.2,0.0
2022-05-07 08:00:00,2022-05-07T08:00:00,14.5,0.0
2022-05-07 09:00:00,2022-05-07T09:00:00,14.2,0.0
2022-05-07 10:00:00,2022-05-07T10:00:00,15.4,0.0
2022-05-07 11:00:00,2022-05-07T11:00:00,16.4,0.0
2022-05-07 12:00:00,2022-05-07T12:00:00,17.6,0.0
2022-05-07 13:00:00,2022-05-07T13:00:00,18.6,0.0
2022-05-07 14:00:00,2022-05-07T14:00:00,19.7,0.1
2022-05-07 15:00:00,2022-05-07T15:00:00,21.4,0.1
2022-05-07 16:00:00,2022-05-07T16:00:00,21.8,0.1
2022-05-07 17:00:00,2022-05-07T17:00:00,22.0,0.1
2022-05-07 18:00:00,2022-05-07T18:00:00,21.7,0.1
2022-05-07 19:00:00,2022-05-07T19:00:00,21.0,0.0
2022-05-07 20:00:00,2022-05-07T20:00:00,19.8,0.0
2022-05-07 21:00:00,2022-05-07T21:00:00,18.2,0.0
2022-05-07 22:00:00,2022-05-07T22:00:00,16.3,0.0
2022-05-07 23:00:00,2022-05-07T23:00:00,15.7,0.0
2022-05-08 00:00:00,2022-05-08T00:00:00,15.2,0.0
2022-05-08 01:00:00,2022-05-08T01:00:00,14.9,0.0
2022-05-08 02:00:00,2022-05-08T02:00:00,14.5,0.0
2022-05-08 03:00:00,2022-05-08T03:00:00,14.0,0.0
2022-05-08 04:00:00,2022-05-08T04:00:00,13.8,0.0
2022-05-08 05:00:00,2022-05-08T05:00:00,13.2,0.0
2022-05-08 06:00:00,2022-05-08T06:00:00,12.9,0.0
2022-05-08 07:00:00,2022-05-08T07:00:00,12.5,0.0
2022-05-08 08:00:00,2022-05-08T08:00:00,12.5,0.0
2022-05-08 09:00:00,2022-05-08T09:00:00,12.6,0.0
2022-05-08 10:00:00,2022-05-08T10:00:00,14.4,0.0
2022-05-08 11:00:00,2022-05-08T11:00:00,15.8,0.0
2022-05-08 12:00:00,2022-05-08T12:00:00,17.1,0.0
2022-05-08 13:00:00,2022-05-08T13:00:00,18.2,0.0
2022-05-08 14:00:00,2022-05-08T14:00:00,19.8,0.0
2022-05-08 15:00:00,2022-05-08T15:00:00,21.3,0.0
2022-05-08 16:00:00,2022-05-08T16:00:00,22.1,0.0
2022-05-08 17:00:00,2022-05-08T17:00:00,22.4,0.0
2022-05-08 18:00:00,2022-05-08T18:00:00,22.2,0.0
2022-05-08 19:00:00,2022-05-08T19:00:00,21.6,0.0
2022-05-08 20:00:00,2022-05-08T20:00:00,20.3,0.0
2022-05-08 21:00:00,2022-05-08T21:00:00,18.5,0.0
2022-05-08 22:00:00,2022-05-08T22:00:00,16.3,0.0
2022-05-08 23:00:00,2022-05-08T23:00:00,15.0,0.0
2022-05-09 00:00:00,2022-05-09T00:00:00,14.7,0.0
2022-05-09 01:00:00,2022-05-09T01:00:00,14.9,0.0
2022-05-09 02:00:00,2022-05-09T02:00:00,14.0,0.0
2022-05-09 03:00:00,2022-05-09T03:00:00,12.8,0.0
2022-05-09 04:00:00,2022-05-09T04:00:00,12.4,0.0
2022-05-09 05:00:00,2022-05-09T05:00:00,11.9,0.0
2022-05-09 06:00:00,2022-05-09T06:00:00,11.7,0.0
2022-05-09 07:00:00,2022-05-09T07:00:00,11.8,0.0
2022-05-09 08:00:00,2022-05-09T08:00:00,11.6,0.0
2022-05-09 09:00:00,2022-05-09T09:00:00,11.7,0.0
2022-05-09 10:00:00,2022-05-09T10:00:00,13.5,0.0
2022-05-09 11:00:00,2022-05-09T11:00:00,15.1,0.0
2022-05-09 12:00:00,2022-05-09T12:00:00,16.5,0.0
2022-05-09 13:00:00,2022-05-09T13:00:00,17.8,0.0
2022-05-09 14:00:00,2022-05-09T14:00:00,18.8,0.0
2022-05-09 15:00:00,2022-05-09T15:00:00,20.4,0.0
2022-05-09 16:00:00,2022-05-09T16:00:00,20.9,0.0
2022-05-09 17:00:00,2022-05-09T17:00:00,20.9,0.0
2022-05-09 18:00:00,2022-05-09T18:00:00,20.7,0.0
2022-05-09 19:00:00,2022-05-09T19:00:00,20.3,0.0
2022-05-09 20:00:00,2022-05-09T20:00:00,19.0,0.0
2022-05-09 21:00:00,2022-05-09T21:00:00,16.6,0.0
2022-05-09 22:00:00,2022-05-09T22:00:00,14.3,0.0
2022-05-09 23:00:00,2022-05-09T23:00:00,13.1,0.0
2022-05-10 00:00:00,2022-05-10T00:00:00,12.2,0.0
2022-05-10 01:00:00,2022-05-10T01:00:00,12.7,0.0
2022-05-10 02:00:00,2022-05-10T02:00:00,12.1,0.0
2022-05-10 03:00:00,2022-05-10T03:00:00,11.2,0.0
2022-05-10 04:00:00,2022-05-10T04:00:00,10.8,0.0
2022-05-10 05:00:00,2022-05-10T05:00:00,10.1,0.0
2022-05-10 06:00:00,2022-05-10T06:00:00,10.0,0.0
2022-05-10 07:00:00,2022-05-10T07:00:00,9.9,0.0
2022-05-10 08:00:00,2022-05-10T08:00:00,9.7,0.0
2022-05-10 09:00:00,2022-05-10T09:00:00,9.3,0.0
2022-05-10 10:00:00,2022-05-10T10:00:00,10.9,0.0
2022-05-10 11:00:00,2022-05-10T11:00:00,13.8,0.0
2022-05-10 12:00:00,2022-05-10T12:00:00,15.9,0.0
2022-05-10 13:00:00,2022-05-10T13:00:00,17.4,0.0
2022-05-10 14:00:00,2022-05-10T14:00:00,18.8,0.0
2022-05-10 15:00:00,2022-05-10T15:00:00,20.7,0.0
2022-05-10 16:00:00,2022-05-10T16:00:00,21.2,0.0
2022-05-10 17:00:00,2022-05-10T17:00:00,21.7,0.0
2022-05-10 18:00:00,2022-05-10T18:00:00,21.6,0.0
2022-05-10 19:00:00,2022-05-10T19:00:00,21.1,0.0
2022-05-10 20:00:00,2022-05-10T20:00:00,19.1,0.0
2022-05-10 21:00:00,2022-05-10T21:00:00,16.8,0.0
2022-05-10 22:00:00,2022-05-10T22:00:00,14.6,0.0
2022-05-10 23:00:00,2022-05-10T23:00:00,14.2,0.0
2022-05-11 00:00:00,2022-05-11T00:00:00,14.3,0.0
2022-05-11 01:00:00,2022-05-11T01:00:00,13.8,0.0
2022-05-11 02:00:00,2022-05-11T02:00:00,13.5,0.0
2022-05-11 03:00:00,2022-05-11T03:00:00,12.7,0.0
2022-05-11 04:00:00,2022-05-11T04:00:00,11.4,0.0
2022-05-11 05:00:00,2022-05-11T05:00:00,10.3,0.0
2022-05-11 06:00:00,2022-05-11T06:00:00,10.0,0.0
2022-05-11 07:00:00,2022-05-11T07:00:00,9.7,0.0
2022-05-11 08:00:00,2022-05-11T08:00:00,9.4,0.0
2022-05-11 09:00:00,2022-05-11T09:00:00,9.5,0.0
