HORA,TIPO_DIA,PRECIPITACAO,TEMPERATURA,ACIMA_MEDIA_FREQUENCIA
22,DOMINGO,0.0,16.3,0
23,DOMINGO,0.0,15.0,0
00,DIA_UTIL,0.0,14.7,0
01,DIA_UTIL,0.0,14.9,0
02,DIA_UTIL,0.0,14.0,0
04,DIA_UTIL,0.0,12.4,0
05,DIA_UTIL,0.0,11.9,0
06,DIA_UTIL,0.0,11.7,0
07,DIA_UTIL,0.0,11.8,1
08,DIA_UTIL,0.0,11.6,0
09,DIA_UTIL,0.0,11.7,1
10,DIA_UTIL,0.0,13.5,1
11,DIA_UTIL,0.0,15.1,1
12,DIA_UTIL,0.0,16.5,1
13,DIA_UTIL,0.0,17.8,1
14,DIA_UTIL,0.0,18.8,1
15,DIA_UTIL,0.0,20.4,1
16,DIA_UTIL,0.0,20.9,1
17,DIA_UTIL,0.0,20.9,1
18,DIA_UTIL,0.0,20.7,1
19,DIA_UTIL,0.0,20.3,1
20,DIA_UTIL,0.0,19.0,1
21,DIA_UTIL,0.0,16.6,0
22,DIA_UTIL,0.0,14.3,0
23,DIA_UTIL,0.0,13.1,0
00,DIA_UTIL,0.0,12.2,0
01,DIA_UTIL,0.0,12.7,0
02,DIA_UTIL,0.0,12.1,0
04,DIA_UTIL,0.0,10.8,0
05,DIA_UTIL,0.0,10.1,0
06,DIA_UTIL,0.0,10.0,0
07,DIA_UTIL,0.0,9.9,0
08,DIA_UTIL,0.0,9.7,0
09,DIA_UTIL,0.0,9.3,1
10,DIA_UTIL,0.0,10.9,1
11,DIA_UTIL,0.0,13.8,1
12,DIA_UTIL,0.0,15.9,1
13,DIA_UTIL,0.0,17.4,1
14,DIA_UTIL,0.0,18.8,1
15,DIA_UTIL,0.0,20.7,1
16,DIA_UTIL,0.0,21.2,1
17,DIA_UTIL,0.0,21.7,1
18,DIA_UTIL,0.0,21.6,1
19,DIA_UTIL,0.0,21.1,1
20,DIA_UTIL,0.0,19.1,1
21,DIA_UTIL,0.0,16.8,0
22,DIA_UTIL,0.0,14.6,1
23,DIA_UTIL,0.0,14.2,0
00,DIA_UTIL,0.0,14.3,0
01,DIA_UTIL,0.0,13.8,0
02,DIA_UTIL,0.0,13.5,0
04,DIA_UTIL,0.0,11.4,0
05,DIA_UTIL,0.0,10.3,0
06,DIA_UTIL,0.0,10.0,0
07,DIA_UTIL,0.0,9.7,0
08,DIA_UTIL,0.0,9.4,0
09,DIA_UTIL,0.0,9.5,1
10,DIA_UTIL,0.0,12.2,1
11,DIA_UTIL,0.0,15.1,1
12,DIA_UTIL,0.0,17.1,1
13,DIA_UTIL,0.0,18.6,1
14,DIA_UTIL,0.0,20.0,1
15,DIA_UTIL,0.0,22.3,1
16,DIA_UTIL,0.0,23.0,1
17,DIA_UTIL,0.0,23.3,1
18,DIA_UTIL,0.0,23.3,1
19,DIA_UTIL,0.0,22.8,1
20,DIA_UTIL,0.0,20.9,1
21,DIA_UTIL,0.0,18.6,1
22,DIA_UTIL,0.0,16.9,1
23,DIA_UTIL,0.0,16.7,0
00,DIA_UTIL,0.0,15.8,0
01,DIA_UTIL,0.0,15.4,0
02,DIA_UTIL,0.0,15.5,0
04,DIA_UTIL,0.0,14.4,0
05,DIA_UTIL,0.0,14.3,0
06,DIA_UTIL,0.0,14.1,0
07,DIA_UTIL,0.0,14.7,0
08,DIA_UTIL,0.0,14.9,0
09,DIA_UTIL,0.0,15.0,1
10,DIA_UTIL,0.0,16.1,1
11,DIA_UTIL,0.0,17.5,1
12,DIA_UTIL,0.0,18.8,1
13,DIA_UTIL,0.1,19.6,1
14,DIA_UTIL,0.1,20.8,1
15,DIA_UTIL,0.1,22.3,1
16,DIA_UTIL,0.1,22.9,1
17,DIA_UTIL,0.0,23.1,1
18,DIA_UTIL,0.0,23.2,1
19,DIA_UTIL,0.0,22.6,1
20,DIA_UTIL,0.0,21.3,1
21,DIA_UTIL,0.0,18.7,1
22,DIA_UTIL,0.0,17.3,1
23,DIA_UTIL,0.0,17.1,0
00,DIA_UTIL,0.0,17.4,0
01,DIA_UTIL,0.0,15.8,0
02,DIA_UTIL,0.0,15.2,0
04,DIA_UTIL,0.0,14.3,0
05,DIA_UTIL,0.0,14.0,0
06,DIA_UTIL,0.0,13.5,0
07,DIA_UTIL,0.0,13.4,0
08,DIA_UTIL,0.0,13.7,0
09,DIA_UTIL,0.0,13.6,1
10,DIA_UTIL,0.0,15.0,1
11,DIA_UTIL,0.0,16.4,1
12,DIA_UTIL,0.0,17.6,1
13,DIA_UTIL,0.0,19.0,1
14,DIA_UTIL,0.1,20.3,1
15,DIA_UTIL,0.0,22.1,1
16,DIA_UTIL,0.1,22.8,1
17,DIA_UTIL,0.0,23.1,1
18,DIA_UTIL,0.0,23.2,1
19,DIA_UTIL,0.0,22.6,1
20,DIA_UTIL,0.0,21.2,0
21,DIA_UTIL,0.0,19.4,1
22,DIA_UTIL,0.0,17.0,1
23,DIA_UTIL,0.0,16.1,1
00,SABADO,0.0,15.5,0
01,SABADO,0.0,15.0,0
02,SABADO,0.0,14.7,0
04,SABADO,0.0,13.9,0
05,SABADO,0.0,14.0,0
06,SABADO,0.0,13.8,0
07,SABADO,0.0,13.9,0
08,SABADO,0.0,13.6,0
09,SABADO,0.0,13.6,0
10,SABADO,0.0,15.2,0
11,SABADO,0.0,16.4,1
12,SABADO,0.0,17.8,1
13,SABADO,0.1,18.9,1
14,SABADO,0.0,20.0,0
15,SABADO,0.0,22.1,0
16,SABADO,0.0,22.8,0
17,SABADO,0.0,23.1,0
18,SABADO,0.0,23.1,0
19,SABADO,0.0,22.5,1
20,SABADO,0.0,21.1,0
21,SABADO,0.0,18.5,1
22,SABADO,0.0,16.7,0
23,SABADO,0.0,15.9,1
00,DOMINGO,0.0,15.2,0
01,DOMINGO,0.0,14.5,0
02,DOMINGO,0.0,14.2,0
04,DOMINGO,0.0,13.3,0
05,DOMINGO,0.0,12.9,0
06,DOMINGO,0.0,12.5,0
07,DOMINGO,0.0,12.4,0
08,DOMINGO,0.0,12.6,0
