,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DOMINGO,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,3,6,6,3,5,3,0
DIA_UTIL,0,0,0,0,0,0,5,19,24,30,41,41,41,40,41,40,41,41,40,29,17,24,2
SABADO,0,0,0,0,0,0,0,0,0,0,5,8,6,4,1,1,4,5,6,2,4,4,3
FERIADO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
